Halifax,MOAL,Morus alba
Halifax,MOAL_P,Morus alba 'Pendula'
Halifax,NYSY,Nyssa sylvatica
Halifax,orme,Unknown
Halifax,OSVI,Ostrya virginiana
Halifax,PAGUTT,Palaquium gutta
Halifax,PHAM,Phellodendron amurense
Halifax,PHILEW,Philadelphus lewisii
Halifax,PHYOP,Physocarpus opulifolius
Halifax,PI1,Picea
Halifax,PI2,Pinus
Halifax,PIAB,Picea abies
Halifax,PIBA,Pinus banksiana
Halifax,PICE2,Pinus cembra
Halifax,PIGL1,Picea glauca
Halifax,pigl1a,Picea glauca
Halifax,PIHE,Pinus heldreichii
Halifax,PIMA,picea mariana
Halifax,PIMUGO,Pinus mugo
Halifax,PINI,Pinus nigra
Halifax,PINRES,Pinus resinosa
Halifax,PINRIG,Pinus rigida
Halifax,PIPU,Picea pungens
Halifax,PIPU_P,Picea pungens 'Pendula'
Halifax,PIPUGL,Picea pungens 'glauca'
Halifax,PIRU,Picea rubens
Halifax,PIST,Pinus strobus
Halifax,PIST_P,Pinus strobus 'Pendula'
Halifax,PISY,Pinus sylvestris
Halifax,PLAC,Platanus hybrida
Halifax,PLOC,Platanus occidentalis
Halifax,PO,Populus
Halifax,POAL,Populus alba
Halifax,POBA,Populus balsamifera
Halifax,PODE,Populus deltoides
Halifax,POGR,populus grandidentatata
Halifax,PONI,Populus nigra
Halifax,PONIIT,Populus nigra 'italica'
Halifax,POTR1,Populus tremuloides
Halifax,PR,Prunus
Halifax,PRAM,Prunus americana
Halifax,PRCER,Prunus cerasus
Halifax,PRCI,Prunus x cistena
Halifax,PRMA,Prunus maackii
Halifax,PRPE1,Prunus pensylvanica
Halifax,PRPE2,Prunus persica
Halifax,PRPP,Prunus 'Pink Perfection'
Halifax,PRSA,Prunus sargentii
Halifax,PRSE1,Prunus serotina
Halifax,PRSE2,Prunus serrulata
Halifax,PRTR,Prunus triloba
Halifax,PRVI,Prunus virginiana
Halifax,PRVISH,"Prunus virginianna ""Shubert"""
Halifax,PSME,Pseudotsuga menziesii
Halifax,puma,Unknown
Halifax,PYCA,Pyrus calleryana
Halifax,PYCAAR,Pyruc calleryana 'Aristocrat'
Halifax,PYCACH,Pyrus calleryana 'Chanticleer'
Halifax,PYCO,Pyrus communis
Halifax,pyre,Pyrus regelii
Halifax,PYUS,Pyrus ussuriensis 'Prarie Gem'
Halifax,QU,Quercus
Halifax,QUAL,Quercus alba
Halifax,qubi,Quercus bicolor
Halifax,quco,Quercus coccinea
Halifax,QUCOC,Quercus coccinea
Halifax,QUEBI,Quercus bicolor
Halifax,QUEL,Quercus ellipsoidalis
Halifax,QUFAST,Quercus robur 'Fastigiata'
Halifax,QUIM,Quercus imbricaria
Halifax,QULY,Quercus lyrata
Halifax,QUMA1,Quercus macrocarpa
Halifax,quma2,Quercus macrocarpa
Halifax,qumu,Quercus muehlenbergii
Halifax,QUPA,Quercus palustris
Halifax,QUPAL,Quercus palustris Pringreen
Halifax,quph,Quercus phellos
Halifax,QURO,Quercus robur
Halifax,QURO_C,Quercus robur var. Concordia
Halifax,QURU,Quercus rubra
Halifax,QUSHU,Quercus shumardii
Halifax,QUSTEL,Quercus stellata
Halifax,QUVEL,Quercus velutina
Halifax,rh,Rhus spp.
Halifax,RHGL,Rhus glabra
Halifax,RHLA,Rhus lanceolata
Halifax,RHTY,Rhus hirta
Halifax,ROHIS,Robinia hispida
Halifax,ROPS,Robinia pseudoacacia
Halifax,ROPSE,Robinia pseudoacacia
Halifax,SA,Salix spp.
Halifax,saal,Salix alba
Halifax,SAALT,Salix alba 'Tristis'
Halifax,SABA,Salix x sepulcralis Simonkai
Halifax,SAMA,Salix matsudana
Halifax,SAMRAC,Sambucus racemosa
Halifax,SANI,Salix nigra
Halifax,SCVE,Sciadopitys verticillata
Halifax,so,Sorbus spp.
Halifax,SOAM,Sorbus americana
Halifax,SOAU,Sorbus aucuparia
Halifax,SOTH,Sorbus thuringiaca 'Fastigiata'
Halifax,SP,Spathodea alba
Halifax,SPAL,Spathodea alba
Halifax,SYRE,Syringa reticulata
Halifax,SYVU,Syringa vulgaris
Halifax,TA,Taxus
Halifax,TADI,Taxodium distichum
Halifax,tajap,Taxus cuspidata
Halifax,THOC,Thuja occidentalis
Halifax,THOC_S,Thuja occidentalis 'Smaragd'
Halifax,TI,Tilia
Halifax,TIAM,Tilia americana
Halifax,TICO,Tilia cordata
Halifax,TICOGR,Tilia cordata 'greenspire'
Halifax,TIEU2,Tilia europaea
Halifax,TIPL,Tilia platyphyllos
Halifax,TITO,Tilia tomentosa
Halifax,to,Toona sinensis
Halifax,TSCA,Tsuga canadensis
Halifax,TSCA_J,Tsuga canadensis 'Jeddeloh'
Halifax,u,Ulmus spp.
Halifax,ULAC,Ulmus laciniata
Halifax,ULAL,Ulmus alata
Halifax,ULAM,Ulmus americana
Halifax,ULAM_P,Ulmus americana 'Princeton'
Halifax,ULCAHO,Ulmus carpinifolia 'hollandic
Halifax,ULCRA,Ulmus crassifolia
Halifax,ULGL,Ulmus glabra
Halifax,ULGL_C,Ulmus glabra 'Camperdownii'
Halifax,ULGL_L,Ulmus glabra var. Lutescens
Halifax,ULGL_P,Ulmus glabra 'Pendula'
Halifax,ULPA,Ulmus parvifolia
Halifax,ULPIO,Ulmus x 'Pioneer'
Halifax,ULPR,Ulmus procera
Halifax,ULPU,Ulmus pumila
Halifax,ULRU,Ulmus rubra
Halifax,ULS,Ulmus spp.
Halifax,ULTH,Ulmus thomasii
Halifax,UNO,Unknown
Halifax,VIOPU,Viburnum opulus
Halifax,VIRHY,Viburnum rhytidophyllum
Halifax,we,Weigela
Halifax,ZE,Zelkova
Halifax,ZESE,Zelkova serrata
Halifax,elm,Ulmus spp.
Mississauga,ALEUOO,alnus glutinosa
Mississauga,ALOOOO,Alnus spp.
Mississauga,ALSPOO,Alnus incana
Mississauga,AMFLST,Prunus glandulosa
Mississauga,APCRFL,Malus spp.
Mississauga,APCRPR,Malus x moerlandsii 'Profusion'
Mississauga,APCRRO,Malus 'Royalty'
Mississauga,APOOOO,Malus spp.
Mississauga,ASBLOO,Fraxinus nigra
Mississauga,ASBUOO,Fraxinus quadrangulata
Mississauga,ASEUOO,Fraxinus excelsior
Mississauga,ASGROO,Fraxinus pennsylvanica
Mississauga,ASOOOO,Fraxinus spp.
Mississauga,ASWHEM,Fraxinus americana 'Empire'
Mississauga,ASWHOO,Fraxinus americana
Mississauga,BAFAOO,Chamaecyparis spp.
Mississauga,BAOOOO,Taxodium distichum
Mississauga,BEAMOO,Fraxinus grandifolia
Mississauga,BECOOO,Fagus sylvatica 'Copper'
Mississauga,BEEUCU,Fagus sylvatica 'Asplenifolia'
Mississauga,BEEUOO,Fagus sylvatica
Mississauga,BEEUTR,Fagus sylvatica 'Tricolor'
Mississauga,BEPYOO,Fagus sylvatica 'Fastigiata'
Mississauga,BEWEOO,Fagus sylvatica 'Weeping'
Mississauga,BIEUOO,Betula pendula
Mississauga,BIRVOO,Betula nigra
Mississauga,BISWOO,Betula lenta
Mississauga,BIWHOO,Betula papyrifera
Mississauga,BIYEOO,Betula alleghaniensis
Mississauga,BTOOOO,Rhamnus cathartica
Mississauga,BUOHOO,Aesculus glabra
Mississauga,BUYELLO,Aesculus flava
Mississauga,CACHOO,Catalpa ovata
Mississauga,CAMOOO,Catalpa bignonioides 'nana'
Mississauga,CANOOO,Catalpa speciosa
Mississauga,CARYOO,Carya illinoinensis
Mississauga,CASOOO,Catalpa bignonioides
Mississauga,CEEAOO,Thuja occidentalis
Mississauga,CEMIOO,Thuja spp.
Mississauga,CHAMOO,Castanea dentata
Mississauga,CHCHOO,Castanea mollissima
Mississauga,CHHOOO,Aesculus hippocastanum
