Botanical Name,family,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Quebec,Saskatchewan
aethusa cynapium,Apiaceae,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
aethusa cynapium subsp. cynapium,Apiaceae,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
agalinis spp.,Orobanchaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
agalinis aspera,Orobanchaceae,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
agalinis gattingeri,Orobanchaceae,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
agalinis maritima,Orobanchaceae,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
agalinis maritima var. maritima,Orobanchaceae,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
agalinis neoscotica,Orobanchaceae,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0
agalinis purpurea,Orobanchaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
agalinis purpurea var. parviflora,Orobanchaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
agalinis purpurea var. purpurea,Orobanchaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
agalinis skinneriana,Orobanchaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
agalinis tenuifolia,Orobanchaceae,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0
agastache spp.,Lamiaceae,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
agastache foeniculum,Lamiaceae,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
agastache nepetoides,Lamiaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
agastache scrophulariifolia,Lamiaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
agastache urticifolia,Lamiaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
ageratina spp.,Asteraceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
ageratina altissima,Asteraceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
ageratina altissima var. altissima,Asteraceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
agoseris spp.,Asteraceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
agoseris aurantiaca,Asteraceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
agoseris aurantiaca var. aurantiaca,Asteraceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
agoseris glauca,Asteraceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
agoseris glauca var. dasycephala,Asteraceae,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
agoseris glauca var. glauca,Asteraceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
agoseris grandiflora,Asteraceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agoseris grandiflora var. leptophylla,Asteraceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agoseris heterophylla,Asteraceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agoseris heterophylla var. heterophylla,Asteraceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agrimonia spp.,Rosaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agrimonia gryposepala,Rosaceae,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
agrimonia parviflora,Rosaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
agrimonia pubescens,Rosaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
agrimonia striata,Rosaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agropyron spp.,Poaceae,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
agropyron cristatum,Poaceae,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
agropyron fragile,Poaceae,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
agrostemma spp.,Caryophyllaceae,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
agrostemma githago,Caryophyllaceae,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
agrostis spp.,Poaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agrostis canina,Poaceae,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
agrostis capillaris,Poaceae,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
agrostis exarata,Poaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
agrostis gigantea,Poaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agrostis gigantea subsp. gigantea,Poaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agrostis hyemalis,Poaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
agrostis idahoensis,Poaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agrostis macounii,Poaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agrostis mertensii,Poaceae,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
agrostis microphylla,Poaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agrostis oregonensis,Poaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agrostis pallens,Poaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
agrostis perennans,Poaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
agrostis scabra,Poaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agrostis stolonifera,Poaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agrostis variabilis,Poaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
ailanthus spp.,Simaroubaceae,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
ailanthus altissima,Simaroubaceae,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
ailanthus altissima var. altissima,Simaroubaceae,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
aira spp.,Poaceae,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
