City,DAUID,City Area
Kingston,35100198,Downtown
Kingston,35100199,Downtown
Peterborough,35150051,Downtown
Peterborough,35150052,Downtown
Peterborough,35150053,Downtown
Peterborough,35150055,Downtown
Peterborough,35150065,Downtown
Peterborough,35150066,Downtown
Peterborough,35150067,Downtown
Peterborough,35150068,Downtown
Peterborough,35150069,Downtown
Peterborough,35150070,Downtown
Peterborough,35150071,Downtown
Peterborough,35150072,Downtown
Peterborough,35150080,Downtown
Peterborough,35150081,Downtown
Peterborough,35150082,Downtown
Peterborough,35150083,Downtown
Peterborough,35150107,Downtown
Peterborough,35150108,Downtown
Peterborough,35150109,Downtown
Peterborough,35150110,Downtown
Peterborough,35150111,Downtown
Peterborough,35150112,Downtown
Peterborough,35150113,Downtown
Peterborough,35150114,Downtown
Peterborough,35150115,Downtown
Peterborough,35150116,Downtown
Peterborough,35150117,Downtown
Peterborough,35150213,Downtown
Peterborough,35150214,Downtown
Peterborough,35150225,Downtown
Toronto,35200755,Downtown
Toronto,35200756,Downtown
Toronto,35200757,Downtown
Toronto,35200768,Downtown
Toronto,35200769,Downtown
Toronto,35200770,Downtown
Toronto,35200771,Downtown
Toronto,35200772,Downtown
Toronto,35200774,Downtown
Toronto,35200783,Downtown
Toronto,35200792,Downtown
Toronto,35200794,Downtown
Toronto,35200795,Downtown
Toronto,35200796,Downtown
Toronto,35200797,Downtown
Toronto,35200798,Downtown
Toronto,35200801,Downtown
Toronto,35200802,Downtown
Toronto,35200803,Downtown
Toronto,35200804,Downtown
Toronto,35200805,Downtown
Toronto,35200806,Downtown
Toronto,35200807,Downtown
Toronto,35200808,Downtown
Toronto,35200809,Downtown
Toronto,35200810,Downtown
Toronto,35200811,Downtown
Toronto,35200812,Downtown
Toronto,35200813,Downtown
Toronto,35200814,Downtown
Toronto,35200815,Downtown
Toronto,35200821,Downtown
Toronto,35200822,Downtown
Toronto,35200826,Downtown
Toronto,35200827,Downtown
Toronto,35200828,Downtown
Toronto,35200829,Downtown
Toronto,35200831,Downtown
Toronto,35200832,Downtown
Toronto,35200833,Downtown
Toronto,35200855,Downtown
Toronto,35200859,Downtown
Toronto,35200860,Downtown
Toronto,35200861,Downtown
Toronto,35200862,Downtown
Toronto,35200863,Downtown
Toronto,35200864,Downtown
Toronto,35200865,Downtown
Toronto,35200866,Downtown
Toronto,35200867,Downtown
Toronto,35200868,Downtown
Toronto,35200869,Downtown
Toronto,35200870,Downtown
Toronto,35200888,Downtown
Toronto,35200889,Downtown
Toronto,35200890,Downtown
Toronto,35200891,Downtown
Toronto,35200892,Downtown
Toronto,35200893,Downtown
Toronto,35200894,Downtown
Toronto,35200895,Downtown
Toronto,35200896,Downtown
Toronto,35200897,Downtown
Toronto,35200898,Downtown
Toronto,35200899,Downtown
Toronto,35200900,Downtown
Toronto,35200901,Downtown
Toronto,35200902,Downtown
Toronto,35200903,Downtown
Toronto,35200905,Downtown
Toronto,35200906,Downtown
Toronto,35200907,Downtown
Toronto,35200908,Downtown
Toronto,35200909,Downtown
Toronto,35201028,Downtown
Toronto,35201029,Downtown
Toronto,35201030,Downtown
Toronto,35201031,Downtown
Toronto,35201032,Downtown
Toronto,35201033,Downtown
Toronto,35201034,Downtown
Toronto,35201035,Downtown
Toronto,35201036,Downtown
Toronto,35201038,Downtown
Toronto,35201039,Downtown
Toronto,35201040,Downtown
Toronto,35201041,Downtown
Toronto,35201044,Downtown
Toronto,35201045,Downtown
